Labels,text_en
FALSE,"Market in Wuhan, a city in China, where a new corona virus originated"
MOSTLY FALSE,[ONE] Coronavirus Have Patents
FALSE,Most urgent: 2.8 million INFECTED coronavirus China (112 thousand deaths already) HIDING media.
FALSE,A girl dying of Coronavirus.
MOSTLY FALSE,Ministry of Health issued an appeal to prevent the Corona virus infection by drinking warm water
FALSE,Corona virus video of worm removed from lipq
FALSE,"Most Urgent,Very Serious, Important information📣

Ministry of health’s emergency notification to the public that the Coronavirus influenza outbreak this time is very very serious & fatal. There's no cure once you are infected.
Its spreading from China to various countries

Prevention method is to keep your throat moist, do not let your throat dry up. Thus do not hold your thirst because once your membrane in your throat is dried, the virus will invade into your body within 10 mins.
Drink 50-80cc warm water, 30-50cc for kids, according to age. Everytime u feel your throat is dry, do not wait, keep water in hand. Do not drink plenty at one time as it doesn’t help, instead continue to keep throat moist.
Till end of March 2020, do not go to crowded places, wear mask as needed especially in train or public transportation Avoid fried or spicy food and load up vitamin C.
The symptoms/ description are
1.repeated high fever
2.prolonged coughing after fever
3.Children are prone
4.Adults usually feel uneasy,*headache and mainly respiratory related
5: highly contagious🚨
Please share..!🙏😇"
MOSTLY FALSE,"[ONE] ""Allegedly Infected by Viruses Corona, The Doris Sylvanus Hospital Patient Insulated"""
FALSE,"Most Urgent,Very Serious, Important information*📣 Ministry of health’s emergency notification to the public that the Coronavirus influenza outbreak this time is very very serious & fatal. There's no cure once you are infected. Its spreading from China to various countries Prevention method is to keep your throat moist, do not let your throat dry up. Thus do not hold your thirst because once your membrane in your throat is dried, the virus will invade into your body within 10 mins. Drink 50-80cc warm water, 30-50cc for kids, according to age. Everytime u feel your throat is dry, do not wait, keep water in hand. Do not drink plenty at one time as it doesn’t help, instead continue to keep throat moist. Till end of March 2020, do not go to crowded places, wear mask as needed especially in train or public transportation Avoid fried or spicy food and load up vitamin C. The symptoms/ description are 1.repeated high fever 2.prolonged coughing after fever 3.Children are prone 4.Adults usually feel uneasy,*headache and mainly respiratory related 5: highly contagious🚨 Pls share if you care for human life!"
FALSE,Health Ministry's emergency notification asks people to keep their throat moist to prevent the Coronavirus attack.
MOSTLY FALSE,Videos claimed as video panic among residents of China due to the Corona virus
FALSE,"A Facebook post from January 27, 2020 claims coronavirus has contaminated a list of food products and that several Sydney train stations ""have shown positive readings to the virus""."
FALSE,URGENT: CHINA virus (coronavirus) infected in 10 MIL BRAZIL (number is higher) media mind. high alert - coronavirus - Global Pandemic - 28 million infected and 156 000 dead
MOSTLY FALSE,The death toll from the virus in Wuhan Corona reached 10 thousand people
FALSE,Coronavirus was created as a biological weapon
FALSE,Coronavirus in China! True reality of China! Prevent up friends
FALSE,Fennel prevents coronavirus
FALSE,CLAIM: hospitals in the photo was built in two days to treat coronavirus in China.
FALSE,CLAIM: Flat Fatih Sultan Mehmet Hospital coronavirus was detected.
FALSE,Health authorities advise drinking water against the new coronavirus
FALSE,China's Wuhan of that spread the virus from the market where
FALSE,Video shows coronavirus response
FALSE,Video shows a girl collapsed and died after being infected by Coronavirus
FALSE,"Says a ""Clorox bottle claimed it could kill (the 2019 coronavirus)... before it was developed."""
MOSTLY FALSE,Man infected with coronavirus collapses in Colombo World Trade Center
FALSE,Coronavirus vaccine patented. Patent 2015 already refers to it
FALSE,"The Ministry of Health has issued an ""emergency notification"" on coronavirus"
FALSE,"There are reports of more than 10,000 dead in Wuhan because of the Coronavirus"
MOSTLY FALSE,Corona Virus Wuhan is the marriage of a bat virus and swine virus
MOSTLY FALSE,The Bill & Melinda Gates Foundation and others have predicted up to 65 million deaths Coronavirus - In a simulation performed there 3 months!
FALSE,Video to create alarm about the coronavirus
FALSE,"Bill Gates funded the ""The Pirbright Institute"" owner of the patent Coronavirus"
MOSTLY FALSE,"Hospitals in Indramayu, Tarakan and Bandung treating patients infected with the virus Corona Wuhan"
MOSTLY FALSE,"The graphic purports to provide 'The Facts' about the latest coronavirus (2019-nCoV), but contains a number of errors and misleading information."
FALSE,"WHO advises ""avoid unprotected sex"" with animals to prevent the spread of the coronavirus"
FALSE,The coronavirus isn’t new because “Lysol has it listed as one of the viruses that it kills.”
FALSE,Bill Gates is the owner of the patent of the new strain of coronavirus
MOSTLY FALSE,Photos of dozens of people lying in the street who claimed to be citizens of Corona virus-infected China Wuhan
FALSE,The coronavirus comes to Cucuta
FALSE,The coronavirus was created in Canada and stolen by Chinese spies
FALSE,Video shows where market began the new epidemic coronavirus
MOSTLY FALSE,Bill Gates Foundation made a mock meeting on the spread of the coronavirus
FALSE,Doctors recommend taking fennel tea to combat coronaviruses
FALSE,Image showing deadbodies of those infected with Coronavirus lying on the roads
FALSE,Doctors recommend drinking tea with fennel to defeat coronavirus
FALSE,The girl in the video is dropping due to the transition of the corona virus and becomes his death
MOSTLY FALSE,Wuhan coronavirus is a biyosilah produced by the US. It was released deliberately to China and a bioterror agent. This type of research is being done and viruses are always being changed by human hands. This is a step towards economic harm to China.
FALSE,Singapore shut down train station for disinfection after novel coronavirus case
FALSE,Pakistan issues warning against eating goat following coronavirus outbreak
FALSE,"CLAIM: coronavirus has mutated. A person caught the virus, around 14 people are infected and more treatment is not possible."
FALSE,List of food and Australian suburbs contaminated by coronavirus
FALSE,"The Queensland government issued a warning over the novel coronavirus against Wuhan, China, and Queensland suburbs with large Chinese population"
FALSE,"""[T]he label of the popular Lysol already show that the product Kill the Coronavirus, so that means that this Virus is nothing new.”"
FALSE,Homeopathic drug ‘Arsenicum album 30’ can prevent Coronavirus infection
FALSE,China has not built a hospital within 48 hours to care for patients of the Coronavirus has been under construction since 2018
FALSE,The Department of Health Canada has not advised to keep the throat moist to prevent the spread of the Coronavirus
FALSE,Patent coronavirus is owned by United States
MOSTLY FALSE,[ONE] Corona Virus Already Got Shah Alam Selangor
MOSTLY FALSE,Wuhan Corona virus have been found since 2012 by Ali Mohamed Zaki
MOSTLY FALSE,"Articles circulating argue that the coronavirus 2019-nCoV was patented in the past, so it is a human construct and this involved the Foundation Bill & Melinda Gates."
FALSE,CLAIM: The video shows the moments when a doctor fell to the ground because of the coronavirus in China.
FALSE,CLAIM: Capa Medical Faculty of Istanbul were under quarantine in a person diagnosed with the coronavirus.
FALSE,"CLAIM: Gates Foundation, the patent of the drug to take three months before the coronavirus outbreak of the disease was spreading prepare scenarios."
FALSE,Coronavirus: The video market Wuhan
FALSE,The video shows a girl died after being infected with coronavirus
FALSE,People falling by the coronavirus in China
FALSE,Photo of people in China falling by the Coronavirus
FALSE,Drink warm water to keep the throat moist prevention of coronavirus
FALSE,"More than 300,000 infected with novel coronavirus in China"
FALSE,"Coronavirus source found as bat infestation under roofs in Hubei, China."
FALSE,"7News article warning of coronavirus case in the Macarthur area, near Sydney, Australia."
FALSE,The new corona virus victim lying on the road in China
FALSE,People died on the streets in China due to the new coronavirus
FALSE,Claim: China prime minister praying for corona virus in mosque
MOSTLY FALSE,"5 suspect patients Corona virus in Semarang, 1 dead, 4 in isolation"
FALSE,Prime Minister of China visiting mosque to pray during Coronavirus outbreak
FALSE,Coronavirus victims in China.
FALSE,Claim: Lankan Tamil girl invented medicine for corona virus
MOSTLY FALSE,"[ONE] Photos ""China reportedly secretly Cremation Corona Virus Victim"""
FALSE,Video of the new hospital set up by China for Coronavirus patients
FALSE,"The video shows ""doctors"" who ""fall"" while operating on a patient with coronavirus"
FALSE,"An Instagram post from January 31, 2020 features a claim that WHO has called the coronavirus “a plague and it has infected an estimated 340,000 people in China and killed 75,000."
MOSTLY FALSE,Corona virus can be transmitted through sweat Wuhan factory workers in China who stick to canned food
FALSE,Drinking water will cure coronavirus
FALSE,Cocaine heals coronavirus
FALSE,"This man is Raul Rodolfo Abdhuz Khan, creator of the new coronavirus"
FALSE,Postobón tank infected with coronavirus
FALSE,Canadian Health Authority recommends drinking warm water to protect the new coronavirus
FALSE,CLAIM: A doctor demonstrates the floor collapsed and died during surgery due to video coronavirus.
MOSTLY FALSE,Video shows pigs being burnt alive by Chinese government to control outbreak of Corona virus
FALSE,The corona virus is possibly caused due to the use of rhino horn
FALSE,Broiler Chicken has Coronavirus
MOSTLY FALSE,Sri Lanka has eradicated coronavirus
FALSE,"Hubei, in bats in China have revealed the source of the corona virus infection"
FALSE,Doctor compares blood samples of a healthy person and a coronavirus patient
FALSE,Corona viruses are not affected children.
FALSE,Steaming face masks makes them reusable during coronavirus outbreak
FALSE,Video of a family died due to novel Coronavirus.
FALSE,"There is a coronavirus infected in Noia, Galicia"
FALSE,Bill Gates is the owner of the patent of the new strain of coronavirus
FALSE,It has detected a case of Coronavirus in Huelva
FALSE,"Personal coronavirus this stage, take 1g of vitamin C + Zinc effervescent, this is one of the ways to improve our immunity and be prepared to fight a possible infection by coronavirus."
FALSE,Chinese Prime Minister Li Keqiang visiting a Mosque and offering prayers seeking protection to the country from Coronavirus.
MOSTLY FALSE,[ONE] China Merchants ballistic Because Outbreak Orange Not Conduct Due Corona
MOSTLY FALSE,Photos stack of boxes wrapped in plastic in the article about the victims of Wuhan Corona virus called secretly cremated
FALSE,"Whuan market. China, the origin of Coronavirus"
MOSTLY FALSE,[ONE] Can Corona Virus Transmitted Infections Eye Gaze
FALSE,There is a confirmed case in Galicia
FALSE,"There is a case in Noia, Galicia"
FALSE,Image of people falling in China by the coronavirus
FALSE,Confirmed coronavirus cases in Calgary and Edmonton
FALSE,ALERT! Hospital São Domingos records child case with [new] Coronavirus in St. Louis
MOSTLY TRUE,The road and the job much kill more of the new coronavirus
FALSE,After the photo is down the street infected karonabhairase
MOSTLY FALSE,Bill Gates 'predicted' the Chinese coronavirus a year ago with simulation saying that 33 million people could die in the first six months.
FALSE,Chinese Prime Minister visited the mosque to avoid coronavirus
MOSTLY FALSE,Women infected with the novel coronavirus collapsed in Malaysia
FALSE,Boiler corona virus in chicken
MOSTLY FALSE,Dettol knew about Coronavirus in Oct 2019.
FALSE,Chinese prime minister offered prayer at mosque after novel coronavirus breakout in Wuhan
MOSTLY FALSE,Novel coronavirus transmitted through worms in food and drink?
FALSE,Corona said Health Canada for the prevention of water.
MOSTLY FALSE,Herbal plant an antibiotic to treat novel coronavirus
FALSE,Drinking garlic water can cure novel coronavirus
FALSE,Videos of Pigs being buried in China due to the Coronavirus outbreak.
MOSTLY TRUE,"A Facebook post asks how did cleaning products company Dettol know about the current coronavirus outbreak in 2019, showing a label which lists a product as able to kill “Human Coronavirus""."
FALSE,Unani practices can prevent coronavirus outbreak
MOSTLY FALSE,Dettol kills Coronavirus. The company knew about the Coronavirus back in October 2019.
MOSTLY FALSE,There are 40 thousand foreign workers from China in Morowali quarantined related Corona virus
FALSE,2019 novel Coronavirus can be cured by one bowl of freshly boiled garlic.
FALSE,Chinese government kiiling pigs to control the coronavirus.
FALSE,"Look at China coronavirus, then complain, look at the mess that is this ... What horror"
FALSE,A Facebook post claims research has confirmed that the 2019 coronavirus is a man-made combination of the SARS and HIV viruses.
FALSE,Chinese president Xi Jinping visiting mosque during coronavirus outbreak
FALSE,"CLAIM: Video, doctors who want to cling to the coronavirus shows a baby under quarantine."
MOSTLY FALSE,Egyptian doctor who invented coronavirus vaccine
FALSE,"Chinese officials are seeking approval to start the mass killing of 20,000 people in order to stop the spread of new coronavirus."
MOSTLY FALSE,Doctor Ali Mohamed Zaki from Egypt found corona virus vaccine
FALSE,"Japanese medical team in Wuhan, China, to help victims of corona virus"
MOSTLY FALSE,The makers of Dettol knew about the coronavirus in 2019
FALSE,Chinese PM/President visited mosque to pray to save the country from Coronavirus
FALSE,Photo of Chinese Premier Li Keqiang dines in Wuhan during his visit to the coronavirus epicentre
FALSE,India issues emergency warning over novel coronavirus
FALSE,No havoc PM not to China mosque save the country Krona virus
FALSE,"China asked for permission to kill 20,000 patients a corona virus from court"
FALSE,"""This is China! Attention Scenes Strong! Same as exotic food, initiated H1N1 SARS owner of coronavirus. Strong Scenes for PETS lovers, there they are food."
FALSE,People fallen on the road due to Coronavirus
FALSE,Broiler Chicken is infected with Coronavirus
FALSE,URGENT Bolsonaro President may order the cancellation of the carnival in Brazil because of the coronavirus * Warning do not buy Abadá !! Keep your / money !!!!
MOSTLY FALSE,WHO is calling for isolating China as the Corona virus Wuhan
FALSE,San Marcos Fair 2020 in Mexico is canceled by coronavirus
MOSTLY FALSE,Live pigs buried in the fight against the epidemic of the new coronavirus in China
MOSTLY FALSE,The government of China to stop coronavirus video shows pigs being burnt alive
FALSE,"China seeks court approval to kill over 20,000 Coronavirus patients"
FALSE,"China seeks court approval to kill over 20,000 Coronavirus patients"
FALSE,Chinese leader prays at mosque after novel coronavirus outbreak
FALSE,Coronavirus was found in broiler cikene
FALSE,Chinese President asks Muslims to pray to protect China coronavirus
FALSE,Bats nests under roofs caused novel coronavirus in China
FALSE,"To approval from the court to kill more than 20,000 patients to the coronavirus China"
MOSTLY FALSE,Woman infected with novel coronavirus collapses in Malaysia
FALSE,"China is seeking court approval to kill 20,000 Coronavirus-infected people there"
FALSE,Eating infant flesh caused novel coronavirus outbreak
FALSE,"In preparation to kill 20 thousand patients Krona virus not China, fake news"
FALSE,"A Facebook post from February 1, 2020 claims the current 2019 novel coronavirus is more deadly than HIV or Ebola."
FALSE,"China seek for court’s approval to kill the over 20,000 coronavirus patients to avoid further spread of the virus"
FALSE,"China has sought to kill 20,000 coronavirus patients to control the spread of the virus."
FALSE,Bats found under the tiles of many roofs in China were the source of Coronavirus.
MOSTLY FALSE,Chinese President Xi Jinping visited the mosque and ask for prayer related Corona virus outbreak
MOSTLY FALSE,Simpson predicted coronavirus.
MOSTLY FALSE,"Wuhan Corona virus has entered Dumai, Riau"
FALSE,Marijuana kills coronavirus
FALSE,Photos show the Xi mosque to avoid coronavirus
MOSTLY FALSE,Lysol label is evidence that novel coronavirus is not new
FALSE,"Bats, snakes and dogs are sold at the fair open sky in China, so the coronavirus exists"
FALSE,Urgent Notice: Cocaine kills the coronavirus. Scientists are shocked to find out that this drug can fight the virus.
FALSE,Weed kills coronavirus
FALSE,"Indian scientists have declared that the coronavirus is artificially created, and its genome is similar to HIV"
FALSE,Corona video of treating individuals suffering from virus
FALSE,Image of people falling in China by the coronavirus
MOSTLY FALSE,One claimed Dettol cleaning products can kill the virus Corona Wuhan
FALSE,Wuhans citizens are shouting due to the fear of Coronavirus
FALSE,Swarm of bats have been found in the roof of the coronavirus is the source of China's hubeiye
FALSE,Kortora asked for permission to kill patients infected with coronavirus China 0.000
FALSE,This video shows people dying due to the new coronavirus
FALSE,Chinese Premier praying in a mosque to stop the coronavirus
FALSE,Videos are screaming for fear of Wuhan residents coronavirus
FALSE,It has been claimed in the picture of the marijuana to treat coronavirus
FALSE,"Says ""the coronavirus was engineered by scientists in a lab."""
FALSE,"Novel coronavirus case discovered in Hurstville suburb of Sydney, Australia"
FALSE,Broiler Chicken causes Coronavirus
FALSE,Mounting a supposed news about a case of coronavirus in Andorra
FALSE,"Video market in China, where the start of the corona virus"
FALSE,"One positive patient for Coronavirus found in Barabanki, India"
FALSE,"WhatsApp chain that talks about the coronavirus of 24,589 dead as ""official statistics"""
FALSE,the first case of Coronavirus confirmed in Andorra
FALSE,Chicken infected with Coronavirus was found in Bangalore.
FALSE,China's Corona virus roof of a house in Wuhan city seen flying to infected birds
MOSTLY FALSE,Videos claimed as a Chinese citizen video vying to join prayers for fear Corona virus Wuhan
FALSE,"The ""bug"" extracted from a lip in a viral video that live in ""soda cans"" and is the effect of the coronavirus"
MOSTLY FALSE,[ONE] Israel Helps Patients Doctors Corona in China
MOSTLY FALSE,No patients were positive for the virus Corona Wuhan in RS Bahteramas Kendari
MOSTLY FALSE,Video dozens of people whose seizures are claimed to be patient Corona virus
MOSTLY FALSE,"China seeks court approval to kill more than 20,000 patients with coronavirus"
MOSTLY FALSE,Comoros has given € 100 to China to fight the new coronavirus
FALSE,A minister announced cases of coronavirus in DRC
FALSE,CLAIM: To prevent the spread of coronavirus Chinese government admitted in court to demand the murder of 20 thousand patients waiting for decisions.
FALSE,Coronavirus found in chicken in Bangalore
FALSE,"""MMS (chlorine dioxide), can be very effective in both preventing and eradicating the coronavirus."""
FALSE,Says the coronavirus is “a MILITARY BIO-WEAPON Developed by China's Army.”
FALSE,"Says the 2019 coronavirus ""causes sudden death syndrome."""
MOSTLY FALSE,From October 2019 to learn about coronavirus detala
FALSE,"""Wuhan’s corona virus can be cured by one bowl of freshly boiled garlic water."""
MOSTLY FALSE,H1N1 virus deaths way worse than novel coronavirus
FALSE,Novel coronavirus found in Indian chickens?
FALSE,"China to euthanise 20,000 novel coronavirus patients"
MOSTLY FALSE,Thailand managed to cure patients with marijuana Wuhan Corona virus
FALSE,Claim: Xi Jinping visited mosque for coronavirus
MOSTLY FALSE,"[ONE] ""I was so scared by the corona virus The Chinese Muslims pray toward him nowhere"""
FALSE,Broiler is eating chicken corona virus infection
FALSE,People in Wuhan infected with Coronavirus screaming for lives from their building
FALSE,"Bat that was responsible for Coronavirus's origination in Wuhan, China"
MOSTLY FALSE,The Chinese government has asked for court permission to kill more than 20 thousand patients Corona virus Wuhan
FALSE,"WhatsApp chain that speaks of 24,589 dead as ""official statistics"""
FALSE,"a child who comes from China isolated there in the emergency room, they did the tests and tested positive for coronavirus"
FALSE,Slaughtered pigs buried eliminated burned alive by the coronavirus suspected of carrying coronavirus
FALSE,There's a plane in quarantine for coronavirus in Guaviare and Bogotá cases
MOSTLY TRUE,Black people are more resistant to novel coronavirus
FALSE,Black people have more powerful antibodies that white people
MOSTLY FALSE,Chicken infected with Coronavirus was found in Bangalore.
MOSTLY FALSE,The United States Postal Service (USPS) will stop accepting items destined to China and Hong Kong amid the new coronavirus outbreak
FALSE,"“The coronavirus pandemic can be dramatically slowed, or stopped completely, with the immediate widespread use of high doses of vitamin C.”"
FALSE,Victims of corona virus in China
FALSE,Philippines issues quarantine order for visitors from 23 countries over novel coronavirus
FALSE,A fire broke out in Wuhan after people disinfected their home with alcholol amid coronavirus scare
MOSTLY FALSE,"[ONE] ""Successfully Heal Thailand Corona Virus Patients with Ganja"""
MOSTLY FALSE,Antivirus Corona Wuhan named Remdesivir discovered by doctors Israel and China
FALSE,China to deal with the virus do not want to kill twenty thousand patients
MOSTLY FALSE,[ONE] Mi Goreng Indonesia Login Register Foods Corona Virus Spreading in Australia
FALSE,"German quarantined in La Gomera coronavirus have ""abandoned without permission"" home isolation"
MOSTLY FALSE,Fuss with the Coronavirus and the solution is in Pinol Pinol powerful
MOSTLY FALSE,Lysol label shows that the new coronavirus is not new
FALSE,Satellite image shows possible cremation in mass in China due to coronavirus
FALSE,Chicken coronavirus found
FALSE,"Chinese seek court approval to kill 20,000 patients corona virus"
FALSE,"A case of coronavirus in Calella, Barcelona"
FALSE,"Corona virus 400th century BC wrote a song about the Siddha Poker ..

""Caravananati life aravum
Meanders with vitappar
Cuttings to eat
Body Breathing struggling
All will succumb to sabotage RoCam
Physical zone disintegrates
Pokume flew alive ""."
FALSE,Whiskey and honey: This was the recipe used by a British to win the coronavirus
FALSE,Chinese news portal filtering that more than 24 thousand deaths a coronavirus to censorship
FALSE,Hemp turns the corona virus
FALSE,"Director of the Hospital das Clinicas (HC) concerned about the new flu (coronavirus), makes the following recommendations * *: - Take herb sweet tea twice a day."
FALSE,"The PATENT OF VACCINE CORONA VIRUS BELONGS TO BILL GATES! ""CORONAVIRUS ARRIVES IN BRAZIL PATENTED BY BILL GATES?""."
FALSE,After all I Coronavirus existed? Why in lysol bottle advises that Kill germ Coronavirus. I'm confused now. Lysol cure coronavirus
FALSE,Satellite images showing high levels of sulphur dioxide above China are possible evidence of mass cremations of people who have died from coronavirus.
FALSE,covid-19 stands for “china outbreak virus in december 19”
MOSTLY TRUE,Coronavirus: China orders slaughter of domestic animals
FALSE,Wuhan police to shoot people with coronavirus
MOSTLY FALSE,Wuhan flat fire breaks out after residents use disinfectant against novel coronavirus
FALSE,Chinese police shooting Coronavirus patients in Wuhan
MOSTLY FALSE,"Crows flock to Wuhan, China, after coronavirus outbreak"
FALSE,"Video of 25,000 coronavirus patients killed in China"
FALSE,"Video of a Chinese epidemiologist who warns of ""hundreds of thousands"" of infected coronavirus"
FALSE,If death was confirmed in Ibagué coronavirus
FALSE,Chinese police killing coronavirus infected patients
MOSTLY FALSE,The Chinese government mass shooting Wuhan residents infected with the virus Corona COVID 2019
FALSE,25 thousand killing patients corona virus shows video
FALSE,Claim: Tamil Siddhar Bogar predicted Corona virus long before
FALSE,Wuhan people are screaming coronavirus
FALSE,Non-Muslim Chinese perform a Friday prayer due to the novel coronavirus outbreak
FALSE,Cocaine kills the coronavirus
TRUE,Airport Ushuaia cruise over 2 coronavirus full
FALSE,CLAIM: Map coronavirus because of evidence that burned 50 thousand people in China.
FALSE,A novel coronavirus patient has been identified in eastern Indian state of Bihar's Purnea district..
FALSE,China's non-Muslim residents abuzz Friday prayers come from being exposed to a new corona virus
MOSTLY FALSE,A burning building in a video is claimed as a Chinese citizen insulation Corona virus infected Covid 2019
FALSE,Non-Muslims to avoid corona virus in China read the prayer
FALSE,Chinese government to control the corona virus killing pigs
FALSE,Coronavirus cases and deaths recorded in Nigeria
FALSE,A Sudanese minister wore a mask to protect himself from the novel coronavirus during a meeting with a Chinese diplomat
MOSTLY FALSE,Boiled ginger can help cure coronavirus
MOSTLY FALSE,"Map predicting global spread of novel coronavirus, based on movements of residents from Wuhan, China"
FALSE,Australian couple quarantined on cruise due to novel coronavirus gets wine delivered by drone
MOSTLY FALSE,coronavirus cure
FALSE,Marijuana can be a possible cure for coronavirus
MOSTLY FALSE,Videos claimed as crows and mosquitoes attack video jumbo in China at the Corona virus outbreak Covid 2019
FALSE,"China Corona police with guns and shot them, killing the virus-infected"
FALSE,"Before bursting bubble wrap, remember that air comes from China. You can download the ""coronavirus""."
FALSE,Photos show site in China where human flesh infected with coronavirus is saved to be canned and exported to countries in Africa.
FALSE,Woman says she had REVELATION of Our Lady of Mount Carmel on coronavirus and Our Lady gave her a prescription for a tea for us to take against this evil and asked her to disclose to the world.
MOSTLY FALSE,The video shows two old bachelor who were diagnosed with the new coronavirus
MOSTLY FALSE,Videos claimed as video Chinese who flocked shahadah to avoid the Corona virus
MOSTLY TRUE,Animal transmitter possible new coronavirus: the pangolin
FALSE,"Israel sends novel coronavirus vaccine to Wuhan, China"
FALSE,Australian couple ordering wine using drones in the middle of the corona virus quarantine on a cruise ship Diamond Princess
MOSTLY FALSE,"Several crows fly into Wuhan city, China following the rise in infected and death tolls caused by the novel Coronavirus outbreak."
FALSE,Chinese man escapes novel coronavirus quarantine in the Philippines
FALSE,Car slams through Wuhan coronavirus roadblock
MOSTLY TRUE,China never had to deal with the virus killing the suyoraguloke
MOSTLY FALSE,"Elderly couple ""greet one last time"" to being affected by coronavirus"
MOSTLY FALSE,Videos claimed as a Chinese citizen video jostling for Friday prayers after the Corona virus Covid 2019
MOSTLY FALSE,There's a map that shows all the countries in the world which will be effected by coronavirus
MOSTLY FALSE,People who drink alcohol will not be infected by the Coronavirus
FALSE,This nest of bats is the source of the coronavirus in Wuhan China
MOSTLY FALSE,"Elderly couple infected with coronavirus. From what I understand, this was the farewell of them since they had to be separated"
FALSE,This video shows bags of deaths related coronavirus in China
FALSE,Israeli doctors heal patients new corona virus in China
MOSTLY FALSE,Novel coronavirus exposure at a doctor’s office in this Australian town
FALSE,Pakistan issues alert after novel coronavirus signs appear in chickens
MOSTLY FALSE,Cannabis boosts immunity against coronavirus
FALSE,This video shows bodies on a Wuhan street during the new coronavirus epidemic
MOSTLY FALSE,[ONE] Cikarang Corona Virus Alert 3 For 3 People Died Already Meikarta
FALSE,Tea made from fennel helps of Coronavirus
FALSE,Consuming Alcohol will prevent Coronavirus
